gene_name	zscore	pvalue	disease_id	tissue	entrezgene
S100P	-1.6294174194335935	0.1032246836590012	C0027662	Thyroid	hsa:6286
RAD52	1.611095358334336	0.1071589399085815	C0027662	Thyroid	hsa:5893
FGFR3	1.5597427258924894	0.1188206910163029	C0027662	Thyroid	hsa:2261
TACC3	-1.5502705574035645	0.1210765909722056	C0027662	Thyroid	hsa:10460
CTNNBIP1	-1.5396902561187742	0.1236358730753412	C0027662	Thyroid	hsa:56998
SNX8	-1.535151636917662	0.12474658486244	C0027662	Thyroid	hsa:29886
ZDHHC11	1.53496719336666	0.1247918867366675	C0027662	Thyroid	hsa:79844
FAM53A	-1.5198703432861984	0.1285435653767328	C0027662	Thyroid	hsa:152877
SIRT5	-1.4868286337605208	0.1370600768733666	C0027662	Thyroid	hsa:23408
SGSM2	-1.472549308496054	0.1408726020001094	C0027662	Thyroid	hsa:9905
BLOC1S5	-1.4642732329844823	0.1431193076800947	C0027662	Thyroid	hsa:63915
RAP1GAP2	1.4494802598144214	0.1472035091767701	C0027662	Thyroid	hsa:23108
IGSF21	1.4490478074441673	0.1473242320638973	C0027662	Thyroid	hsa:84966
ANO9	1.4471967324174926	0.147841831469311	C0027662	Thyroid	hsa:338440
MFSD7	1.4273204800941404	0.1534875400168373	C0027662	Thyroid	hsa:84179
LINC01772	-1.3945085475784522	0.1631640901572705	C0027662	Thyroid	hsa:107984921
RSG1	-1.3891837346131248	0.16477688645197	C0027662	Thyroid	hsa:79363
FASTKD3	1.387337245907716	0.165338950777844	C0027662	Thyroid	hsa:79072
CHRNA10	-1.3782591672404558	0.1681232853417498	C0027662	Thyroid	hsa:57053
C1QBP	1.3743386268615725	0.1693365798443096	C0027662	Thyroid	hsa:708
C1orf159	-1.363357936468896	0.1727697309847919	C0027662	Thyroid	hsa:54991
RBP7	1.3589594193290824	0.1741594482665156	C0027662	Thyroid	hsa:116362
SPATA13	1.3496381016724392	0.1771320961501377	C0027662	Thyroid	hsa:221178
RREB1	1.34114933013916	0.1798719737513722	C0027662	Thyroid	hsa:6239
CLEC12B	-1.3306919336318972	0.1832903982882253	C0027662	Thyroid	hsa:387837
COLQ	1.3193008895689886	0.1870685405560829	C0027662	Thyroid	hsa:8292
NSFL1C	1.3184181554583376	0.1873637064309842	C0027662	Thyroid	hsa:55968
SLC22A17	1.316246032714844	0.1880914778835019	C0027662	Thyroid	hsa:51310
DEAF1	1.3144357381976952	0.188699610363069	C0027662	Thyroid	hsa:10522
PAFAH1B1	-1.3133548498153689	0.1890634040159198	C0027662	Thyroid	hsa:5048
VLDLR	1.313126773001286	0.1891402336488085	C0027662	Thyroid	hsa:7436
LZIC	1.3033367437291572	0.1924598219459385	C0027662	Thyroid	hsa:84328
MRPL52	1.288968980831743	0.1974088706859063	C0027662	Thyroid	hsa:122704
C22orf29	1.2866669658030754	0.1982103918235722	C0027662	Thyroid	hsa:79680
LNX2	1.2746920585632324	0.2024182587994978	C0027662	Thyroid	hsa:222484
RNH1	1.270366393316928	0.2039541484000536	C0027662	Thyroid	hsa:6050
PEX14	-1.2686185836791992	0.2045771329901049	C0027662	Thyroid	hsa:5195
C17orf97	-1.265536695660592	0.2056790026378344	C0027662	Thyroid	hsa:400566
SMC6	1.2529805898666382	0.2102127706975076	C0027662	Thyroid	hsa:79677
AGRN	-1.2494985785380397	0.2114827730837056	C0027662	Thyroid	hsa:375790
KIF1B	1.2320993946309726	0.2179119575269761	C0027662	Thyroid	hsa:23095
KLF11	1.1941534280776978	0.2324179568685686	C0027662	Thyroid	hsa:8462
CLEC12A	-1.1858667135238647	0.2356749402696225	C0027662	Thyroid	hsa:160364
PARVA	-1.16591739654541	0.2436478446219702	C0027662	Thyroid	hsa:55742
LINC01376	-1.1535532927316987	0.2486833567299596	C0027662	Thyroid	hsa:400945
METTL26	1.1435158100270226	0.2528244943410741	C0027662	Thyroid	hsa:84326
FASTKD5	1.1425414518046082	0.253229026183872	C0027662	Thyroid	hsa:60493
MRFAP1	-1.1371362209320068	0.255481344143036	C0027662	Thyroid	hsa:93621
TPPP	1.1235510118006455	0.2612035483047515	C0027662	Thyroid	hsa:11076
ENO1	1.121943116188049	0.2618866267593823	C0027662	Thyroid	hsa:2023
LINC01939	1.1193998446025255	0.2629695972402943	C0027662	Thyroid	hsa:101060385
LETM1	-1.1146706342697144	0.2649915894242255	C0027662	Thyroid	hsa:3954
METTL6	-1.1095182291881835	0.2672066849038204	C0027662	Thyroid	hsa:131965
SLC25A22	1.109278082847595	0.2673102370178928	C0027662	Thyroid	hsa:79751
CLEC4E	-1.1043230295181274	0.2694530363480891	C0027662	Thyroid	hsa:26253
LZTS3	1.1018002868715389	0.270548505647577	C0027662	Thyroid	hsa:9762
NR2C2	-1.1013680254220397	0.2707365157005826	C0027662	Thyroid	hsa:7182
MFAP2	1.0765193545669127	0.2816950496771765	C0027662	Thyroid	hsa:4237
NBL1	-1.0733973207816998	0.283092886115901	C0027662	Thyroid	hsa:4681
FAM213B	1.0495630628649282	0.2939190469224746	C0027662	Thyroid	hsa:127281
RNF17	1.0458436372738429	0.2956332302856773	C0027662	Thyroid	hsa:56163
MRPL17	-1.0386441108731863	0.2989702827889682	C0027662	Thyroid	hsa:63875
M6PR	-1.033962607383728	0.3011536443848187	C0027662	Thyroid	hsa:4074
NMRK2	1.032099366188049	0.3020255707491248	C0027662	Thyroid	hsa:27231
PSMF1	1.0318297698157797	0.3021518706362587	C0027662	Thyroid	hsa:9491
LINC00621	-1.008771538734436	0.3130842136605181	C0027662	Thyroid	hsa:100996930
RNF223	1.0084002017974854	0.3132623761070212	C0027662	Thyroid	hsa:401934
C14orf119	1.0066548585891724	0.3141006620671728	C0027662	Thyroid	hsa:55017
ARHGEF10L	1.0024766332385573	0.3161134465619785	C0027662	Thyroid	hsa:55160
FAM228B	-1.000648205602394	0.3169969159733706	C0027662	Thyroid	hsa:375190
ZNF141	1.0002868175506592	0.3171717248673922	C0027662	Thyroid	hsa:7700
VPS53	-0.9989370929629632	0.3178251660061559	C0027662	Thyroid	hsa:55275
EBF4	0.9974375586223698	0.3185521682599215	C0027662	Thyroid	hsa:57593
ADIPOR2	-0.9974067211151124	0.3185671302786023	C0027662	Thyroid	hsa:79602
DHRS4L2	0.995281651482117	0.3195992992106466	C0027662	Thyroid	hsa:317749
POLR1D	0.9934961494938174	0.3204682260078769	C0027662	Thyroid	hsa:51082
SNTG2	0.9934574194003564	0.3204870913689561	C0027662	Thyroid	hsa:54221
SLC6A3	0.9932619554277352	0.3205823126057249	C0027662	Thyroid	hsa:6531
SLC22A23	-0.9882757067680358	0.3230176396211117	C0027662	Thyroid	hsa:63027
OSR1	0.98609721660614	0.3240854093822266	C0027662	Thyroid	hsa:130497
WDCP	0.9765622615814208	0.3287859099225224	C0027662	Thyroid	hsa:80304
SNPH	-0.9762696562673702	0.3289308527301813	C0027662	Thyroid	hsa:9751
CECR6	-0.9750730803164864	0.3295240106783307	C0027662	Thyroid	hsa:27439
AKIP1	-0.9735886325775136	0.330260832736956	C0027662	Thyroid	hsa:56672
MSX1	0.9719032645225526	0.331098675584356	C0027662	Thyroid	hsa:4487
DCHS1	0.9714548990541432	0.3313218017117892	C0027662	Thyroid	hsa:8642
DNAJC27	0.97141219288535	0.3313430592263291	C0027662	Thyroid	hsa:51277
CELA2B	-0.971068263053894	0.3315142866293209	C0027662	Thyroid	hsa:51032
IL5RA	0.9703085422515868	0.3318927206193659	C0027662	Thyroid	hsa:3568
RPL27A	-0.9665334434784364	0.333777320527725	C0027662	Thyroid	hsa:6157
LINC01115	0.9604425919134312	0.3368325107556288	C0027662	Thyroid	hsa:339822
C11orf21	0.9508262303406184	0.3416925947834048	C0027662	Thyroid	hsa:29125
PDE6B	0.9405827522277832	0.3469187241146665	C0027662	Thyroid	hsa:5158
RP3-395M20.9	-0.9337175933366472	0.3504495872988434	C0027662	Thyroid	hsa:100996583
TMEM8A	0.9117803573608396	0.3618843525572062	C0027662	Thyroid	hsa:58986
UBOX5	-0.9081915510945148	0.3637770271695382	C0027662	Thyroid	hsa:22888
MRM2	0.8997040914218876	0.3682777454780243	C0027662	Thyroid	hsa:29960
SPATA6L	-0.898138571520342	0.3691116776753924	C0027662	Thyroid	hsa:55064
PLEKHN1	-0.895825085546804	0.3703461898230341	C0027662	Thyroid	hsa:84069
SLC52A3	0.8876894265333924	0.374707835032492	C0027662	Thyroid	hsa:113278
IFT140	0.8855020662612495	0.3758859056820115	C0027662	Thyroid	hsa:9742
MMP14	0.8827611207962036	0.3773653508970473	C0027662	Thyroid	hsa:4323
SWAP70	-0.8757336160867047	0.381174865982572	C0027662	Thyroid	hsa:23075
EPS8L2	-0.8756027397259188	0.3812460354810896	C0027662	Thyroid	hsa:64787
LINC01814	0.8749018854123527	0.3816272931245315	C0027662	Thyroid	hsa:101929567
CYTH3	0.8746166053984673	0.3817825495302509	C0027662	Thyroid	hsa:9265
FAM234A	-0.8715900224633387	0.3834320757336026	C0027662	Thyroid	hsa:83986
PIANP	-0.8687176731367308	0.3850015724106199	C0027662	Thyroid	hsa:196500
METTL16	0.8661303735171547	0.3864186703476256	C0027662	Thyroid	hsa:79066
PLGRKT	-0.855078399181366	0.3925077470253747	C0027662	Thyroid	hsa:55848
FBXO6	0.8523327560424888	0.3940294305405813	C0027662	Thyroid	hsa:26270
RBAKDN	-0.852114737033844	0.3941504133233541	C0027662	Thyroid	hsa:389458
RBSN	0.8505974411964418	0.3949930113443242	C0027662	Thyroid	hsa:64145
CLEC4D	0.8470463675679735	0.3969692772860006	C0027662	Thyroid	hsa:338339
ZNF215	-0.8458353268836727	0.397644615021559	C0027662	Thyroid	hsa:7762
IFT88	0.8445057537293642	0.3983868495270011	C0027662	Thyroid	hsa:8100
FBXO25	-0.8421574234962462	0.3996998422241226	C0027662	Thyroid	hsa:26260
TH	0.8414433119299114	0.4000996300284339	C0027662	Thyroid	hsa:7054
RP11-74E22.8	0.8389097917517416	0.401519932646201	C0027662	Thyroid	hsa:101928991
KDELR2	0.8358696699142457	0.4032282268728604	C0027662	Thyroid	hsa:11014
FAM220A	-0.8342772126197815	0.4041247896897678	C0027662	Thyroid	hsa:84792
VMO1	0.8338412128311787	0.4043704680049342	C0027662	Thyroid	hsa:284013
TXNDC5	0.8325075995653198	0.4051224904028077	C0027662	Thyroid	hsa:81567
ARHGDIG	-0.8245860963454494	0.4096066176207114	C0027662	Thyroid	hsa:398
FAM131C	0.8242964966840222	0.4097711087119184	C0027662	Thyroid	hsa:348487
GP1BA	0.8207678993695576	0.411778486529064	C0027662	Thyroid	hsa:2811
LMCD1	-0.8178405165672303	0.4134482594132728	C0027662	Thyroid	hsa:29995
CLEC1A	-0.8174099922180175	0.4136941672944548	C0027662	Thyroid	hsa:51267
LTBR	0.8161218762397767	0.4144304331545879	C0027662	Thyroid	hsa:4055
MAD1L1	-0.8145612955552027	0.4153234727567106	C0027662	Thyroid	hsa:8379
GEMIN4	0.8112214981846204	0.4172384819356681	C0027662	Thyroid	hsa:50628
EAF1	0.8072579503059388	0.4195178848042403	C0027662	Thyroid	hsa:85403
CACNA2D4	0.8064291187898418	0.4199954627050665	C0027662	Thyroid	hsa:93589
SPATA13	0.799374050148733	0.4240735527309724	C0027662	Thyroid	hsa:221178
STK33	0.799205684562204	0.4241711563161671	C0027662	Thyroid	hsa:65975
RGS11	-0.7972824013077012	0.4252870388136138	C0027662	Thyroid	hsa:8786
CTNS	0.791366219520569	0.4287303164757341	C0027662	Thyroid	hsa:1497
PANO1	-0.7906752228736877	0.4291335382506004	C0027662	Thyroid	hsa:101927423
CEP72	-0.781725823879242	0.4343757218030971	C0027662	Thyroid	hsa:55722
TALDO1	0.7814404368400574	0.4345434959720026	C0027662	Thyroid	hsa:6888
CPLX1	-0.7793708395205936	0.4357612962180341	C0027662	Thyroid	hsa:10815
TUBB8	0.7765795522693426	0.4374068692747466	C0027662	Thyroid	hsa:347688
VSNL1	0.7764904547112872	0.4374594546092275	C0027662	Thyroid	hsa:7447
ZBTB49	0.7736397981643677	0.4391438301095353	C0027662	Thyroid	hsa:166793
APEX1	-0.7733523370678431	0.4393138895621725	C0027662	Thyroid	hsa:328
SIRPB2	0.7732338189668703	0.4393840148350125	C0027662	Thyroid	hsa:284759
SLC26A1	0.772122189646477	0.4400420609758407	C0027662	Thyroid	hsa:10861
SMTNL2	-0.7717427611351014	0.4402667989074419	C0027662	Thyroid	hsa:342527
SPAG7	0.7699392762632351	0.441335914211061	C0027662	Thyroid	hsa:9552
SORCS2	-0.7697657661259062	0.4414388502918508	C0027662	Thyroid	hsa:57537
AMH	0.7696271538734436	0.4415210928421125	C0027662	Thyroid	hsa:268
RPA3	0.7692296323655022	0.4417570022011222	C0027662	Thyroid	hsa:6119
CDYL	0.7681233882904054	0.4424138830713514	C0027662	Thyroid	hsa:9425
EXOC2	-0.7674541027946347	0.4428115717878542	C0027662	Thyroid	hsa:55770
DNAJA3	0.7656620144844055	0.443877434529359	C0027662	Thyroid	hsa:9093
PTDSS2	-0.762909317562627	0.4455174789977616	C0027662	Thyroid	hsa:81490
TRIM66	-0.760707427248206	0.4468318375974007	C0027662	Thyroid	hsa:9866
SLC25A33	0.759911596775055	0.4473074292193574	C0027662	Thyroid	hsa:84275
SBF2	-0.7500275373458862	0.4532381198737458	C0027662	Thyroid	hsa:81846
EIF3F	-0.7498312592506409	0.4533563394962632	C0027662	Thyroid	hsa:8665
AMPD3	-0.7488110065460205	0.4539711248407058	C0027662	Thyroid	hsa:272
MED10	0.7477287726360855	0.4546237724475638	C0027662	Thyroid	hsa:84246
SLC35B3	0.7442028667417374	0.456753753981316	C0027662	Thyroid	hsa:51000
FKBP1B	0.7401273167826112	0.4592227448738801	C0027662	Thyroid	hsa:2281
HAGH	0.73464395342584	0.4625563620456991	C0027662	Thyroid	hsa:3029
CLCN6	0.7277142071292863	0.4667885516477782	C0027662	Thyroid	hsa:1185
TRNT1	0.7261411906096628	0.4677522198666093	C0027662	Thyroid	hsa:51095
EXOC3	0.7236314079822528	0.469292053832294	C0027662	Thyroid	hsa:11336
FARS2	-0.7217110927603718	0.4704721206434751	C0027662	Thyroid	hsa:10667
