gene	disease_id	correlation	tissue	cell	score	prediction_rank
ZNF525	C0027662	-0.11747041265960312	Thyroid	MCF7	0.11747041265960312	146.0
XLOC_012975	C0027662	-0.11724699316476772	Thyroid	MCF7	0.11724699316476772	147.0
LOC101929147	C0027662	-0.1171515686225224	Thyroid	MCF7	0.1171515686225224	148.0
FEN1	C0027662	-0.11714996956054513	Thyroid	MCF7	0.11714996956054513	149.0
NPRL2	C0027662	-0.11662283025139364	Thyroid	MCF7	0.11662283025139364	150.0
ADCY6	C0027662	-0.1165889805783189	Thyroid	MCF7	0.1165889805783189	151.0
PSME2	C0027662	-0.11624846244586529	Thyroid	MCF7	0.11624846244586529	152.0
XLOC_002746	C0027662	-0.11606498926705155	Thyroid	MCF7	0.11606498926705155	153.0
HMGN5	C0027662	-0.11519757367328354	Thyroid	MCF7	0.11519757367328354	154.0
GGCX	C0027662	-0.11426664664361552	Thyroid	MCF7	0.11426664664361552	155.0
ATP2A1-AS1	C0027662	-0.11350480810536001	Thyroid	MCF7	0.11350480810536001	156.0
RAB11A	C0027662	-0.11294086718111362	Thyroid	MCF7	0.11294086718111362	157.0
RTCD1	C0027662	-0.11260217148895446	Thyroid	MCF7	0.11260217148895446	158.0
ANAPC5	C0027662	-0.11232581191837099	Thyroid	MCF7	0.11232581191837099	159.0
CHTF8	C0027662	-0.11218327119774107	Thyroid	MCF7	0.11218327119774107	160.0
TXNL4B	C0027662	-0.11205970659362374	Thyroid	MCF7	0.11205970659362374	161.0
FZD4	C0027662	-0.11201101670346647	Thyroid	MCF7	0.11201101670346647	162.0
SNRPA	C0027662	-0.11196925298351923	Thyroid	MCF7	0.11196925298351923	163.0
LOC100128885	C0027662	-0.11191893184045298	Thyroid	MCF7	0.11191893184045298	164.0
LOC105375304	C0027662	-0.11185459057417946	Thyroid	MCF7	0.11185459057417946	165.0
PRCC	C0027662	-0.11164521732255617	Thyroid	MCF7	0.11164521732255617	166.0
XLOC_008183	C0027662	-0.11149451715080039	Thyroid	MCF7	0.11149451715080039	167.0
XLOC_013282	C0027662	-0.11136481168955159	Thyroid	MCF7	0.11136481168955159	168.0
SOAT1	C0027662	-0.11133798536308781	Thyroid	MCF7	0.11133798536308781	169.0
EYA1	C0027662	-0.11130182044505532	Thyroid	MCF7	0.11130182044505532	170.0
TOMM34	C0027662	-0.1108999287659802	Thyroid	MCF7	0.1108999287659802	171.0
(LINC00842)	C0027662	-0.11060441308945701	Thyroid	MCF7	0.11060441308945701	172.0
PSMD4	C0027662	-0.11059492792936365	Thyroid	MCF7	0.11059492792936365	173.0
ACAA1	C0027662	-0.11055065635841377	Thyroid	MCF7	0.11055065635841377	174.0
AGPAT2	C0027662	-0.11040560191071314	Thyroid	MCF7	0.11040560191071314	175.0
CCL2	C0027662	-0.11017441512262072	Thyroid	MCF7	0.11017441512262072	176.0
ADCK3	C0027662	-0.10932345854412207	Thyroid	MCF7	0.10932345854412207	177.0
STK25	C0027662	-0.10931401264120444	Thyroid	MCF7	0.10931401264120444	178.0
RBM6	C0027662	-0.1088165791464466	Thyroid	MCF7	0.1088165791464466	179.0
NSA2	C0027662	-0.10875597533375503	Thyroid	MCF7	0.10875597533375503	180.0
LBX2-AS1	C0027662	-0.10812834167807117	Thyroid	MCF7	0.10812834167807117	181.0
STAMBP	C0027662	-0.10721742125105416	Thyroid	MCF7	0.10721742125105416	182.0
XLOC_006516	C0027662	-0.10721270901800017	Thyroid	MCF7	0.10721270901800017	183.0
XLOC_013835	C0027662	-0.10713663814803964	Thyroid	MCF7	0.10713663814803964	184.0
GPR34	C0027662	-0.10706459872307317	Thyroid	MCF7	0.10706459872307317	185.0
SPRED2	C0027662	-0.1070572936903913	Thyroid	MCF7	0.1070572936903913	186.0
MEIS2	C0027662	-0.10695443879928002	Thyroid	MCF7	0.10695443879928002	187.0
HIF1AN	C0027662	-0.10666033331889246	Thyroid	MCF7	0.10666033331889246	188.0
ANG	C0027662	-0.10660785435345543	Thyroid	MCF7	0.10660785435345543	189.0
VN1R5	C0027662	-0.10645617316314593	Thyroid	MCF7	0.10645617316314593	190.0
SYT1	C0027662	-0.1064075072800863	Thyroid	MCF7	0.1064075072800863	191.0
PRKCB	C0027662	-0.10634834898066492	Thyroid	MCF7	0.10634834898066492	192.0
MOK	C0027662	-0.10624782784497167	Thyroid	MCF7	0.10624782784497167	193.0
XLOC_006025	C0027662	-0.10589871496645964	Thyroid	MCF7	0.10589871496645964	194.0
(RP11-234O6.2)	C0027662	-0.10508410608776586	Thyroid	MCF7	0.10508410608776586	195.0
PML	C0027662	-0.10499104909266421	Thyroid	MCF7	0.10499104909266421	196.0
(RP11-59D5_B.2)	C0027662	-0.10473705888285689	Thyroid	MCF7	0.10473705888285689	197.0
HMGB2	C0027662	-0.10449526773262785	Thyroid	MCF7	0.10449526773262785	198.0
FADS3	C0027662	-0.1042623860037275	Thyroid	MCF7	0.1042623860037275	199.0
LGR5	C0027662	-0.10416810264436949	Thyroid	MCF7	0.10416810264436949	200.0
CNOT3	C0027662	-0.10366361758900333	Thyroid	MCF7	0.10366361758900333	201.0
FBP1	C0027662	-0.10351229223779668	Thyroid	MCF7	0.10351229223779668	202.0
GALT	C0027662	-0.10347963532463345	Thyroid	MCF7	0.10347963532463345	203.0
BAG1	C0027662	-0.1033112235564575	Thyroid	MCF7	0.1033112235564575	204.0
CTSL1	C0027662	-0.10286075021392538	Thyroid	MCF7	0.10286075021392538	205.0
PVR	C0027662	-0.10284220847630232	Thyroid	MCF7	0.10284220847630232	206.0
MED28	C0027662	-0.10270012068899237	Thyroid	MCF7	0.10270012068899237	207.0
STAT4	C0027662	-0.10224692705864435	Thyroid	MCF7	0.10224692705864435	208.0
XLOC_002344	C0027662	-0.10217623112811025	Thyroid	MCF7	0.10217623112811025	209.0
XLOC_L2_011885	C0027662	-0.10207527088404267	Thyroid	MCF7	0.10207527088404267	210.0
(AC115618.1)	C0027662	-0.10199812138594955	Thyroid	MCF7	0.10199812138594955	211.0
NDUFA7	C0027662	-0.10196088934439484	Thyroid	MCF7	0.10196088934439484	212.0
E2F8	C0027662	-0.10153630117005052	Thyroid	MCF7	0.10153630117005052	213.0
(FAM83H-AS1)	C0027662	-0.10153504243439215	Thyroid	MCF7	0.10153504243439215	214.0
PSMD5-AS1	C0027662	-0.10144144446008507	Thyroid	MCF7	0.10144144446008507	215.0
ZFP36L1	C0027662	-0.10106667130520464	Thyroid	MCF7	0.10106667130520464	216.0
ZNF366	C0027662	-0.1006040577263203	Thyroid	MCF7	0.1006040577263203	217.0
