gene	entrezgene
MEF2C	hsa:4208
NFKBIB	hsa:4793
MLLT3	hsa:4300
GPR87	hsa:53836
MCM3	hsa:4172
EP400	hsa:57634
SLC22A5	hsa:6584
BLNK	hsa:29760
PFKFB3	hsa:5209
PRB3	hsa:5544
ZNF34	hsa:80778
FGFR1	hsa:2260
PBXIP1	hsa:57326
MRPS31	hsa:10240
NONO	hsa:4841
PARL	hsa:55486
PECR	hsa:55825
ALDOA	hsa:226
DERL1	hsa:79139
ALDOC	hsa:230
BHLHE40	hsa:8553
TRIM60	hsa:166655
LYN	hsa:4067
PUF60	hsa:22827
LMTK2	hsa:22853
ZNF266	hsa:10781
ZNF599	hsa:148103
NUP62	hsa:23636
CASK	hsa:8573
MAP2K1	hsa:5604
MYO3B	hsa:140469
CCND1	hsa:595
LGMN	hsa:5641
ZNF573	hsa:126231
ASNS	hsa:440
ZNF483	hsa:158399
POLR1C	hsa:9533
RAP1A	hsa:5906
CSNK1G3	hsa:1456
JAZF1	hsa:221895
FTCDNL1	hsa:348751
UBE4A	hsa:9354
PRKCZ	hsa:5590
CPE	hsa:1363
HMGB1	hsa:3146
SOX14	hsa:8403
TNFSF10	hsa:8743
CDK10	hsa:8558
DNASE2	hsa:1777
RASGRP4	hsa:115727
TSSK3	hsa:81629
SCP2	hsa:6342
SRPX	hsa:8406
VAMP3	hsa:9341
TPTE	hsa:7179
ACTB	hsa:60
NR1H4	hsa:9971
EPS8	hsa:2059
ZPBP2	hsa:124626
CKB	hsa:1152
ZNF174	hsa:7727
EBF3	hsa:253738
ZIC3	hsa:7547
IL1R1	hsa:3554
MAPKAPK5	hsa:8550
OTUD6A	hsa:139562
PDZD11	hsa:51248
RPS6KA4	hsa:8986
PRMT2	hsa:3275
HIPK4	hsa:147746
NAT1	hsa:9
HOMEZ	hsa:57594
MAP3K7	hsa:6885
PPP1R8	hsa:5511
HDAC11	hsa:79885
GNA13	hsa:10672
IDE	hsa:3416
CD79B	hsa:974
CASP2	hsa:835
MYC	hsa:4609
ENTPD3-AS1	hsa:285266
FARSA	hsa:2193
HPRT1	hsa:3251
PTS	hsa:5805
OVCA2	hsa:124641
SERINC3	hsa:10955
ZNF10	hsa:7556
AIRE	hsa:326
GMDS	hsa:2762
CXADR	hsa:1525
SLC25A22	hsa:79751
ZNF658	hsa:26149
MAGI2-AS3	hsa:100505881
PRKACG	hsa:5568
ALPK2	hsa:115701
ZNF69	hsa:7620
LINC02323	hsa:105370681
TLE2	hsa:7089
CCNF	hsa:899
DFFB	hsa:1677
TOR1A	hsa:1861
CPLX2	hsa:10814
FRK	hsa:2444
HOXA-AS3	hsa:100133311
HOXC11	hsa:3227
FKBP3	hsa:2287
IL1B	hsa:3553
ESYT1	hsa:23344
CRNDE	hsa:643911
FOXP4-AS1	hsa:101060264
NDUFB8	hsa:4714
TXNIP	hsa:10628
BTG1	hsa:694
DEPTOR	hsa:64798
PDPK1	hsa:5170
ZRANB2	hsa:9406
CD24	hsa:100133941
PPP2R1A	hsa:5518
SMARCB1	hsa:6598
RPS10	hsa:6204
PDCD1LG2	hsa:80380
ASS1	hsa:445
CDKAL1	hsa:54901
SRSF4	hsa:6429
UNC5C	hsa:8633
ZNF219	hsa:51222
MPPED1	hsa:758
DCXR	hsa:51181
NDP	hsa:4693
ZNF577	hsa:84765
SLC25A10	hsa:1468
KCNC1	hsa:3746
OVOL1	hsa:5017
ZNF100	hsa:163227
AHDC1	hsa:27245
GLUL	hsa:2752
SPTLC2	hsa:9517
TXNDC9	hsa:10190
OMA1	hsa:115209
ZNF607	hsa:84775
GFPT2	hsa:9945
INTS12	hsa:57117
FOXC2	hsa:2303
MCOLN1	hsa:57192
FTSJ1	hsa:24140
HINT1	hsa:3094
MAGED1	hsa:9500
ZNF396	hsa:252884
EIF4EBP2	hsa:1979
RNH1	hsa:6050
ZNF625	hsa:90589
GCAT	hsa:23464
NXF1	hsa:10482
LOC102723335	hsa:102723335
PSMB7	hsa:5695
PTGFR	hsa:5737
PROCR	hsa:10544
EPHX2	hsa:2053
EIF2AK2	hsa:5610
PRKX	hsa:5613
P2RY2	hsa:5029
DYRK3	hsa:8444
PRR23B	hsa:389151
CDK2	hsa:1017
ZNF567	hsa:163081
NAP1L1	hsa:4673
ZNF518A	hsa:9849
ATP1A1-AS1	hsa:84852
RFK	hsa:55312
TGFBR2	hsa:7048
ZNF697	hsa:90874
RGS18	hsa:64407
CKS1B	hsa:1163
NISCH	hsa:11188
PLA2G12A	hsa:81579
TMEM97	hsa:27346
PRKAR2A	hsa:5576
PAXIP1-AS2	hsa:100132707
EBP	hsa:10682
EXOSC4	hsa:54512
PCDHGB1	hsa:56104
TRAP1	hsa:10131
GABPB2	hsa:126626
NEK10	hsa:152110
SLC25A6	hsa:293
TAOK3	hsa:51347
FBXO36	hsa:130888
MECP2	hsa:4204
ZSCAN2	hsa:54993
PRKCQ	hsa:5588
ABTB1	hsa:80325
SNHG3	hsa:8420
STAP2	hsa:55620
LBX1-AS1	hsa:399806
PACSIN3	hsa:29763
TTR	hsa:7276
PNLDC1	hsa:154197
MCM2	hsa:4171
BAD	hsa:572
C2	hsa:717
GALR2	hsa:8811
KLHL18	hsa:23276
SERPINA5	hsa:5104
B4GALT3	hsa:8703
MAP3K12	hsa:7786
MAP3K6	hsa:9064
NEK6	hsa:10783
XKR8	hsa:55113
PHF5A	hsa:84844
DAPK2	hsa:23604
CPZ	hsa:8532
PSAT1	hsa:29968
